epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/l1_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/l1_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
47,4515.09,1.48909,2.05484,1.77265,0.02058,0.09243,0.49945,0.33091,0.3779,0.23266,0.51545,0.33215,0.37287,0.20918,1.64693,2.52951,2.49605,0.02755,0,0.00090892,0.00090892,0.00090892
48,4610.1,1.48935,1.97028,1.63107,0.02079,0.0908,0.57057,0.3187,0.38842,0.27059,0.56755,0.31343,0.37728,0.2233,1.58022,2.44308,2.29077,0.02698,0,0.00090694,0.00090694,0.00090694
49,4705.38,1.43281,1.92403,1.5644,0.02037,0.08928,0.61125,0.30339,0.39005,0.25815,0.62443,0.30927,0.39872,0.23087,1.68041,2.44927,2.43233,0.02833,0,0.00090496,0.00090496,0.00090496
50,4800.53,1.51133,2.06722,1.79561,0.02136,0.09203,0.54971,0.31375,0.35954,0.23969,0.50852,0.30628,0.34022,0.21012,1.64232,2.41865,2.35988,0.02832,0,0.00090298,0.00090298,0.00090298
51,4895.7,1.42011,1.97457,1.60336,0.02103,0.08903,0.52275,0.39213,0.4145,0.27722,0.50105,0.37875,0.39067,0.23288,1.60157,2.48873,2.3058,0.02603,0,0.000901,0.000901,0.000901
52,4991.73,1.46763,2.01491,1.64831,0.02094,0.09212,0.56153,0.33788,0.36858,0.24328,0.56512,0.33934,0.36373,0.21392,1.62607,2.48278,2.354,0.0272,0,0.00089902,0.00089902,0.00089902
53,5087.27,1.45227,1.95595,1.57681,0.01988,0.08752,0.63386,0.3634,0.415,0.2712,0.63091,0.36325,0.40401,0.23717,1.61686,2.52602,2.33363,0.02679,0,0.00089704,0.00089704,0.00089704
54,5182.82,1.48218,1.98908,1.5892,0.02037,0.09101,0.39327,0.39851,0.3636,0.24005,0.39034,0.39679,0.35997,0.21674,1.61352,2.47318,2.40422,0.02652,0,0.00089506,0.00089506,0.00089506
55,5278.32,1.38607,1.85429,1.48907,0.01959,0.08737,0.49587,0.39488,0.41838,0.2875,0.4657,0.37793,0.38974,0.25247,1.56091,2.52165,2.25628,0.02522,0,0.00089308,0.00089308,0.00089308
56,5373.77,1.41978,1.93533,1.57642,0.0209,0.0882,0.51945,0.39959,0.43492,0.29143,0.51471,0.39771,0.42954,0.25669,1.60186,2.43586,2.24595,0.02678,0,0.0008911,0.0008911,0.0008911
57,5469.37,1.35443,1.85857,1.49608,0.01916,0.0869,0.4635,0.3983,0.40563,0.26927,0.45725,0.38168,0.38265,0.23544,1.61104,2.39126,2.32592,0.02678,0,0.00088912,0.00088912,0.00088912
58,5564.2,1.38636,1.93756,1.53344,0.01955,0.08898,0.69623,0.33032,0.41249,0.27253,0.6873,0.32782,0.40485,0.23568,1.57156,2.4438,2.30842,0.02628,0,0.00088714,0.00088714,0.00088714
59,5659.24,1.34537,1.7453,1.42671,0.01916,0.08793,0.44147,0.41862,0.40936,0.26961,0.43478,0.41356,0.39712,0.22987,1.58724,2.45953,2.34828,0.02673,0,0.00088516,0.00088516,0.00088516
60,5754.19,1.39975,1.87273,1.48218,0.01978,0.08616,0.59668,0.36027,0.42287,0.26936,0.58533,0.361,0.4131,0.23301,1.61409,2.42126,2.46071,0.02747,0,0.00088318,0.00088318,0.00088318
61,5849.48,1.31751,1.75431,1.42358,0.01875,0.09021,0.44198,0.40216,0.4117,0.28062,0.65744,0.29082,0.40445,0.24372,1.56124,2.38878,2.22894,0.02613,0,0.0008812,0.0008812,0.0008812
62,5944.44,1.37527,1.81694,1.38612,0.01879,0.08543,0.48763,0.36368,0.40049,0.26531,0.47517,0.35566,0.38993,0.2222,1.58381,2.51108,2.29532,0.02671,0,0.00087922,0.00087922,0.00087922
63,6039.29,1.3163,1.76001,1.32516,0.0188,0.08649,0.43944,0.38296,0.39072,0.26469,0.44416,0.38105,0.38486,0.24287,1.60277,2.37359,2.27434,0.02713,0,0.00087724,0.00087724,0.00087724
64,6134.53,1.32994,1.83186,1.41487,0.01926,0.08799,0.50725,0.38623,0.43521,0.27672,0.51051,0.37604,0.40463,0.23982,1.60081,2.34434,2.35757,0.02672,0,0.00087526,0.00087526,0.00087526
65,6229.46,1.29055,1.80177,1.36971,0.01776,0.08279,0.5657,0.36544,0.40601,0.26766,0.6513,0.315,0.39734,0.22526,1.57173,2.49742,2.292,0.02605,0,0.00087328,0.00087328,0.00087328
66,6324.42,1.25352,1.72716,1.27758,0.01682,0.08209,0.55974,0.32369,0.37578,0.25247,0.54833,0.31856,0.36057,0.22397,1.54232,2.4242,2.40019,0.02468,0,0.0008713,0.0008713,0.0008713
67,6419.96,1.31709,1.73654,1.34826,0.01764,0.08837,0.5847,0.34361,0.41713,0.27472,0.59432,0.34739,0.41764,0.24773,1.55861,2.3652,2.28209,0.02552,0,0.00086932,0.00086932,0.00086932
68,6515.39,1.27052,1.74652,1.38054,0.01718,0.08249,0.49027,0.40762,0.39122,0.26216,0.48443,0.40255,0.38297,0.23268,1.52676,2.54066,2.22643,0.02514,0,0.00086734,0.00086734,0.00086734
69,6610.77,1.32089,1.74091,1.28338,0.01786,0.08512,0.60473,0.33983,0.37761,0.25498,0.59546,0.33051,0.36324,0.22378,1.54643,2.55553,2.27909,0.02533,0,0.00086536,0.00086536,0.00086536
70,6706.4,1.29955,1.74873,1.29259,0.01862,0.0843,0.56555,0.39604,0.44564,0.30178,0.56336,0.39241,0.44456,0.26675,1.56863,2.52796,2.14411,0.02563,0,0.00086338,0.00086338,0.00086338
71,6802.25,1.34002,1.78692,1.36355,0.01783,0.08659,0.41657,0.44692,0.43917,0.28504,0.41027,0.41175,0.42709,0.25764,1.59041,2.56576,2.15087,0.02609,0,0.0008614,0.0008614,0.0008614
72,6897.72,1.31638,1.78564,1.32799,0.01863,0.08442,0.54497,0.38506,0.41673,0.27833,0.55219,0.39612,0.41122,0.25245,1.55101,2.55705,2.21076,0.02598,0,0.00085942,0.00085942,0.00085942
73,6993.07,1.29651,1.66718,1.29226,0.01757,0.0876,0.47634,0.37052,0.39331,0.24735,0.49473,0.3564,0.36597,0.22115,1.51922,2.6872,2.29676,0.02467,0,0.00085744,0.00085744,0.00085744
74,7088.09,1.29608,1.73961,1.27242,0.01683,0.08261,0.48217,0.38537,0.3878,0.24967,0.47799,0.35704,0.36159,0.22028,1.58196,2.47849,2.44008,0.02597,0,0.00085546,0.00085546,0.00085546
